자치구,살인발생,강도발생,강간발생,절도발생,폭력발생,살인검거율,강도검거율,강간검거율,절도검거율,폭력검거율,범죄,검거,인구수,외국인수,cctv
종로구,0.25,0.4285714285714286,0.2569444444444444,0.3325688073394495,0.352506162695152,125.0,114.28571428571428,480.25210084033614,70.56105610561056,90.87415946205572,0.3241181686100949,100.0,159842,9890,1471
중구,0.08333333333333333,0.3571428571428571,0.18229166666666663,0.6477064220183487,0.28677074774034517,50.0,83.33333333333334,58.97435897435898,47.68392370572207,84.96357960457857,0.3114490053803102,36.88594137349574,135321,9521,1544
용산구,0.16666666666666669,0.14285714285714285,0.3159722222222222,0.09587155963302751,0.33360723089564503,100.0,133.33333333333331,87.13235294117648,54.454454454454456,89.53831041257368,0.21099496445494087,52.721074875107476,244953,15167,2063
성동구,0.4166666666666667,0.5714285714285714,0.07465277777777776,0.08256880733944949,0.06984387838948236,83.33333333333334,111.11111111111111,72.18045112781954,52.680412371134025,87.2309899569584,0.24303214032038953,46.14628186520443,302695,7104,2679
광진구,0.25,0.3571428571428571,0.3177083333333333,0.4977064220183486,0.2584223500410846,125.0,83.33333333333334,78.02197802197803,53.76,85.53696708041014,0.3361959925071247,48.31615311771171,361923,13859,1581
동대문구,0.4166666666666667,0.6428571428571428,0.13541666666666663,0.3399082568807339,0.30936729663106,100.0,90.0,85.11904761904762,54.01698236446767,92.71623672230652,0.36884320594045406,47.88481054563462,358679,14263,2003
중랑구,0.7499999999999999,0.21428571428571427,0.08333333333333331,0.40183486238532107,0.5036976170912079,100.0,125.0,78.26086956521739,54.50180072028812,86.0,0.39063030541911525,50.371879140961596,400989,4992,1068
성북구,0.16666666666666669,0.14285714285714285,0.14930555555555552,0.13394495412844032,0.15981922760887435,100.0,100.0,73.86363636363636,67.56007393715342,90.26658400495971,0.15051870936333595,49.00153344828476,449871,10152,3003
강북구,0.4166666666666667,0.14285714285714285,0.14930555555555552,0.20137614678899085,0.4930156121610517,100.0,66.66666666666666,82.38636363636364,54.027664768104145,91.006600660066,0.2806442248058815,44.73318501258534,313550,3554,1265
도봉구,0.0,0.2857142857142857,0.0,0.0,0.0,100.0,100.0,92.22222222222223,49.87341772151899,82.84313725490196,0.05714285714285714,48.23516298382344,329300,2052,858
노원구,0.25,0.14285714285714285,0.16319444444444442,0.3247706422018348,0.5094494658997536,100.0,100.0,85.86956521739131,45.460614152202936,85.95779220779221,0.27805433908063515,47.366713513215686,529532,4046,1906
은평구,0.16666666666666669,0.0,0.18055555555555552,0.35550458715596334,0.366885784716516,100.0,100.0,83.50515463917526,62.42811501597444,87.71846953235712,0.21392251881894034,49.224178729515764,485842,4296,2962
서대문구,0.08333333333333333,0.2857142857142857,0.14756944444444442,0.19999999999999996,0.12777321281840592,50.0,100.0,88.0,48.939641109298535,82.08469055374593,0.16887805526209387,41.888266587736354,323860,10648,2121
마포구,0.08333333333333333,0.07142857142857142,0.703125,0.6422018348623854,0.38167625308134756,100.0,100.0,84.24242424242424,41.87214611872146,85.09057129586624,0.3763529985411275,46.676246301570785,383494,9986,1935
양천구,0.4166666666666667,0.07142857142857142,0.0642361111111111,0.3151376146788991,0.15529991783073127,100.0,100.0,88.18897637795276,42.924847664184156,85.51810237203496,0.20455377634319594,47.29224526726972,460048,3808,2775
강서구,0.5833333333333333,0.14285714285714285,0.375,0.5779816513761468,0.5476581758422351,112.5,133.33333333333331,83.98692810457517,52.53658536585366,85.8818928431756,0.44536606068177165,53.15017864715179,589536,5992,1617
구로구,0.7499999999999999,0.14285714285714285,0.2361111111111111,0.51651376146789,0.5456039441248973,90.0,133.33333333333331,73.00884955752213,50.36534446764092,84.1692789968652,0.4382171919122082,48.909193737300946,435751,30172,3227
금천구,0.4166666666666667,0.6428571428571428,0.109375,0.16834862385321103,0.2280197206244865,100.0,60.0,82.35294117647058,53.15471045808125,89.3760539629005,0.3130534308003014,43.688477647763875,249641,17484,1634
영등포구,0.7499999999999999,0.14285714285714285,0.46180555555555547,0.7426605504587157,0.7469186524239934,100.0,100.0,67.13483146067416,44.333748443337484,81.09796186719264,0.5688483802590815,44.56056293370073,405982,30352,2495
동작구,0.25,0.0,0.27951388888888884,0.24678899082568806,0.2432210353327855,50.0,100.0,43.82470119521912,43.59939759036144,82.76431718061674,0.20390478300947246,36.344860150153174,404617,11063,1780
관악구,0.9999999999999999,0.6428571428571428,0.5520833333333333,0.6573394495412844,0.5957271980279376,76.92307692307693,110.00000000000001,82.1078431372549,48.80791722896986,88.59386686611818,0.6896014247519398,46.13452285087287,514555,15981,3985
서초구,0.3333333333333333,0.4285714285714286,0.9131944444444444,0.6788990825688074,0.5834018077239113,100.0,71.42857142857143,66.88311688311688,49.25110132158591,83.58547655068078,0.587480019328385,42.12935620647736,429995,3986,2835
강남구,0.3333333333333333,0.2857142857142857,1.0,1.0,0.9999999999999999,60.0,120.0,84.38438438438438,45.08417508417508,86.35866593767085,0.7238095238095238,44.9306859137945,544085,4850,5221
송파구,0.49999999999999994,0.6428571428571428,0.3177083333333333,0.7458715596330275,0.7263763352506162,114.28571428571428,100.0,84.24908424908425,42.05298013245033,84.72593582887701,0.586562674214824,48.2777224362039,676673,6342,1586
강동구,0.4166666666666667,1.0,0.15625,0.39449541284403666,0.385784716516023,83.33333333333334,93.33333333333333,86.11111111111111,54.96969696969697,86.63892741562644,0.4706393592053453,45.90224536665666,462275,4217,1879
